ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of,sector,industry,exchange
ARWR,Arrowhead Pharmaceuticals Inc. Common St,A_VCP待突破,87.3,87.11,89.59,16.46,82.51,68.42,2.8,429.1,0.5,0.4,13.6,36.8,337.5,0.46,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
EQNR,Equinor ASA,A_VCP待突破,85.7,42.86,42.86,22.52,36.98,32.31,0.0,90.3,5.1,4.6,8.6,56.9,75.5,0.62,2026-08-21,Energy,Integrated oil Companies,nyse
MEDP,Medpace Holdings Inc. Common Stock,A_VCP待突破,84.3,620.75,620.75,410.54,548.67,522.1,0.0,51.2,7.3,2.5,49.5,45.0,34.1,0.63,2026-08-21,Health Care,Biotechnology: Commercial Physical & Biological Resarch,nasdaq
STT,State Street Corporation Common Stock,A_VCP待突破,84.0,187.13,193.04,109.78,179.96,144.94,3.1,70.5,-2.4,1.6,22.4,46.2,68.3,0.59,2026-08-21,Finance,Major Banks,nyse
JAZZ,Jazz Pharmaceuticals plc Common Stock (I,A_VCP待突破,82.5,254.28,261.62,110.75,244.76,198.99,2.8,129.6,3.8,-0.2,11.2,51.4,116.1,0.79,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
CLDT,Chatham Lodging Trust (REIT) Common Shar,A_VCP待突破,82.4,13.56,13.78,6.3,13.13,9.24,1.6,115.2,4.4,2.1,37.1,78.2,89.7,0.79,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
MATX,Matson Inc. Common Stock,A_VCP待突破,82.3,222.8,223.55,90.11,206.56,164.88,0.3,147.3,2.5,4.3,23.9,35.0,111.8,0.71,2026-08-21,Consumer Discretionary,Marine Transportation,nyse
BNY,The Bank of New York Mellon Corporation ,A_VCP待突破,82.0,158.49,164.27,101.41,153.76,130.02,3.5,56.3,-2.9,-1.0,17.4,33.4,55.8,0.6,2026-08-21,Finance,Major Banks,nyse
WST,West Pharmaceutical Services Inc. Common,A_VCP待突破,81.8,353.08,365.74,231.09,347.81,290.61,3.5,52.8,1.0,-0.7,16.6,45.2,45.2,0.63,2026-08-21,Health Care,Medical/Dental Instruments,nyse
FANG,Diamondback Energy Inc. Common Stock,A_VCP待突破,81.5,210.72,211.02,136.29,192.35,176.98,0.1,54.6,4.1,2.5,3.5,25.0,51.0,0.71,2026-08-21,Energy,Oil & Gas Production,nasdaq
GSAT,Globalstar Inc. Common Stock,A_VCP待突破,81.5,82.36,84.43,24.25,81.02,70.25,2.5,239.6,-0.0,4.0,0.5,39.5,212.6,0.59,2026-08-21,Consumer Discretionary,Telecommunications Equipment,nasdaq
CNC,Centene Corporation Common Stock,A_VCP待突破,81.0,65.02,68.72,25.25,64.96,48.55,5.4,157.5,-3.6,2.0,11.6,57.7,124.3,0.64,2026-08-21,Health Care,Medical Specialities,nyse
CBL,CBL & Associates Properties Inc. Common ,A_VCP待突破,80.8,55.34,60.05,26.78,54.36,42.79,7.8,106.6,-4.8,-1.1,18.8,50.0,82.7,0.64,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
CNI,Canadian National Railway Company Common,A_VCP待突破,80.1,129.84,130.58,92.23,124.06,109.26,0.6,40.8,2.4,-0.6,16.1,19.7,39.3,0.71,2026-08-21,Industrials,Railroads,nyse
SU,Suncor Energy  Inc. Common Stock,A_VCP待突破,80.0,68.42,68.42,38.32,61.27,56.53,0.0,78.5,4.0,3.0,0.2,24.2,77.3,0.83,2026-08-21,Energy,Integrated oil Companies,nyse
RLAY,Relay Therapeutics Inc. Common Stock,A_VCP待突破,79.9,19.44,20.75,3.25,18.75,12.29,6.3,498.2,-2.1,1.8,59.3,112.2,460.2,0.68,2026-08-21,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq
BFH,Bread Financial Holdings Inc. Common Sto,A_VCP待突破,79.7,105.91,113.4,54.77,104.8,83.78,6.6,93.4,-6.6,2.2,22.1,44.8,75.6,0.65,2026-08-21,Consumer Discretionary,Business Services,nyse
NEO,NeoGenomics Inc. Common Stock,E_突破延伸中,79.6,16.98,16.98,5.67,14.42,11.37,0.0,199.5,6.5,19.2,106.1,48.4,172.1,0.52,2026-08-21,Health Care,Precision Instruments,nasdaq
MBX,MBX Biosciences Inc. Common Stock,A_VCP待突破,79.4,66.33,70.7,9.74,58.75,38.71,6.2,580.7,-3.3,4.3,104.4,68.4,355.3,0.52,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
BLFS,BioLife Solutions Inc. Common Stock,E_突破延伸中,78.6,37.1,37.1,18.15,30.31,24.9,0.0,104.4,5.8,20.6,78.7,65.9,51.4,0.44,2026-08-21,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,nasdaq
APLE,Apple Hospitality REIT Inc. Common Share,A_VCP待突破,78.4,16.67,17.07,11.17,16.48,13.53,2.3,49.2,3.7,0.4,21.1,35.6,36.3,0.78,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
PVLA,Palvella Therapeutics Inc. Common Stock,A_VCP待突破,78.4,142.04,157.77,37.2,141.46,114.74,10.0,281.8,-9.0,-0.8,24.3,77.4,186.7,0.72,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
RPRX,Royalty Pharma plc Class A Ordinary Shar,A_VCP待突破,78.4,61.31,61.73,35.28,57.35,47.87,0.7,73.8,4.6,3.9,16.0,35.0,70.7,0.9,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
UNF,Unifirst Corporation Common Stock,A_VCP待突破,78.4,290.25,301.19,151.86,280.5,237.65,3.6,91.1,1.2,0.2,11.2,21.8,66.2,0.73,2026-08-21,Consumer Discretionary,Other Consumer Services,nyse
RCUS,Arcus Biosciences Inc. Common Stock,A_VCP待突破,78.3,30.34,31.08,9.16,28.33,24.08,2.4,231.2,2.9,2.1,27.6,57.7,189.8,0.91,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nyse
ALRS,Alerus Financial Corporation Common Stoc,A_VCP待突破,78.2,32.77,34.12,20.72,31.98,26.32,4.0,58.2,-2.7,1.9,23.4,28.6,52.0,0.62,2026-08-21,Finance,Major Banks,nasdaq
WT,WisdomTree Inc. Common Stock,E_突破延伸中,78.0,23.51,23.51,11.0,19.83,16.22,0.0,113.7,3.1,19.3,21.1,42.0,72.1,0.6,2026-08-21,Finance,Investment Bankers/Brokers/Service,nyse
EXPD,Expeditors International of Washington I,A_VCP待突破,77.9,187.81,188.27,113.97,173.11,156.11,0.2,64.8,0.9,6.6,20.8,27.6,56.5,0.65,2026-08-21,Industrials,Integrated Freight & Logistics,nyse
SYRE,Spyre Therapeutics Inc. Common Stock,A_VCP待突破,77.2,106.49,108.92,14.82,96.96,57.79,2.2,618.6,2.8,6.5,42.1,196.2,528.6,0.65,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
UNP,Union Pacific Corporation Common Stock,A_VCP待突破,77.2,308.05,308.05,216.0,286.22,255.85,0.0,42.6,4.9,1.2,13.9,17.2,40.0,0.85,2026-08-21,Industrials,Railroads,nyse
CYRX,CryoPort Inc. Common Stock,A_VCP待突破,76.9,17.13,17.13,7.16,15.48,11.45,0.0,139.2,12.3,6.9,30.4,102.2,94.9,0.89,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
HSHP,Himalaya Shipping Ltd. Common Shares,A_VCP待突破,76.9,16.59,16.59,6.89,15.09,12.55,0.0,140.8,3.0,3.9,5.5,30.9,121.8,1.16,2026-08-21,Consumer Discretionary,Marine Transportation,nyse
DRH,Diamondrock Hospitality Company Common S,A_VCP待突破,76.8,12.82,13.38,7.61,12.42,10.39,4.2,68.5,3.7,1.2,24.5,28.3,61.3,0.8,2026-08-21,Real Estate,Real Estate Investment Trusts,nasdaq
ADPT,Adaptive Biotechnologies Corporation Com,E_突破延伸中,76.8,25.99,25.99,10.91,22.01,17.16,0.0,138.2,5.1,16.5,102.6,64.6,109.4,0.66,2026-08-21,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq
AWR,American States Water Company Common Sto,B_上升結構,76.8,88.63,89.31,70.1,84.57,77.27,0.8,26.4,-0.4,1.7,17.0,18.4,19.8,0.59,2026-08-21,Utilities,Water Supply,nyse
NHC,National HealthCare Corporation Common S,A_VCP待突破,76.7,233.4,236.75,94.77,216.0,170.98,1.4,146.3,4.4,5.4,20.5,41.5,116.6,0.85,2026-08-21,Health Care,Hospital/Nursing Management,amex
TRVI,Trevi Therapeutics Inc. Common Stock,A_VCP待突破,76.7,17.96,19.5,7.27,17.74,13.69,7.9,147.0,-2.7,4.5,26.5,76.9,141.1,0.59,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
